county_key,safety_density_score
ALAMANCE,0.8523948503697149
ALEXANDER,0.971929749921292
ALLEGHANY,0.9934046952511423
ANSON,0.9839469720820605
ASHE,0.9799809399011258
AVERY,0.9878687576048943
BEAUFORT,0.9650485436893204
BERTIE,0.9883027152131924
BLADEN,0.9777549926397386
BRUNSWICK,0.8730929264909848
BUNCOMBE,0.7694604460403496
BURKE,0.928208095436638
CABARRUS,0.8019876960254588
CALDWELL,0.9343847587280787
CAMDEN,0.993614866877122
CARTERET,0.9440747768521907
CASWELL,0.9838491188958757
CATAWBA,0.863728802021732
CHATHAM,0.9347123541774801
CHEROKEE,0.9777583962288233
CHOWAN,0.9911396067152812
CLAY,0.9930337040409112
CLEVELAND,0.9169796550462462
COLUMBUS,0.9602486321826366
CRAVEN,0.9156003505696757
CUMBERLAND,0.7148456046901457
CURRITUCK,0.9768743139640751
DARE,0.9706848872135667
DAVIDSON,0.8557465347208632
DAVIE,0.9653693319605524
DUPLIN,0.9609336044859305
DURHAM,0.7201143605932456
EDGECOMBE,0.9614432919513627
FORSYTH,0.6710822562392043
FRANKLIN,0.9396177769457893
GASTON,0.8030530194089667
GATES,0.9940837112735379
GRAHAM,0.9960441785863192
GRANVILLE,0.9511125481820579
GREENE,0.9854811398619845
GUILFORD,0.5366719705929903
HALIFAX,0.9623460939560767
HARNETT,0.8845102660755767
HAYWOOD,0.9495936965530152
HENDERSON,0.9020949090816266
HERTFORD,0.9859729584847221
HOKE,0.9571045667656544
HYDE,0.9990053010899994
IREDELL,0.835673868093905
JACKSON,0.965667996902734
JOHNSTON,0.8035788739225513
JONES,0.9949975749427772
LEE,0.9469099665597372
LENOIR,0.9561821941237034
LINCOLN,0.9240208299651983
MCDOWELL,0.9647779583570876
MACON,0.9706287279936693
MADISON,0.9843060507304953
MARTIN,0.9844958008219667
MECKLENBURG,0.020397709384545992
MITCHELL,0.9901559694698059
MONTGOMERY,0.9807833360278414
MOORE,0.9136739191477413
NASH,0.9210426895160947
NEW HANOVER,0.8027569071585987
NORTHAMPTON,0.9885060796610026
ONSLOW,0.8260059732988436
ORANGE,0.8755520196046731
PAMLICO,0.9923700041693966
PASQUOTANK,0.9681670821881674
PENDER,0.9471363052338692
PERQUIMANS,0.9916433378998154
PERSON,0.9692664414625223
PITT,0.8521395811883631
POLK,0.985987423738332
RANDOLPH,0.8783855075176774
RICHMOND,0.966882227308697
ROBESON,0.9034410285646214
ROCKINGHAM,0.9245186048688342
ROWAN,0.8753843928422521
RUTHERFORD,0.947663861541996
SAMPSON,0.9523097606425976
SCOTLAND,0.9743309820205407
STANLY,0.9479012618806532
STOKES,0.96450396943577
SURRY,0.9421372837657309
SWAIN,0.9909889978982838
TRANSYLVANIA,0.9742450413961522
TYRRELL,1.0
UNION,0.7893731439803272
VANCE,0.9669009470486628
WAKE,-2.220446049250313e-16
WARREN,0.986920007147537
WASHINGTON,0.9937127200633068
WATAUGA,0.9560086110803843
WAYNE,0.9019519583400696
WILKES,0.9468087097844677
WILSON,0.9354449767279596
YADKIN,0.9709410072921896
YANCEY,0.9869183053529947
