County,Pub_Count,Non_Pup_Count,Uni_Count,Total,Norm_Count
BEAUFORT,15,4,1,20,0.05821917808219178
UNION,53,23,1,77,0.2534246575342466
PITT,36,18,2,56,0.1815068493150685
MOORE,25,13,1,39,0.1232876712328767
HAYWOOD,16,5,1,22,0.06506849315068493
JOHNSTON,45,8,1,54,0.17465753424657535
NEW HANOVER,43,24,3,70,0.22945205479452055
BRUNSWICK,20,7,1,28,0.08561643835616438
NASH,28,9,2,39,0.1232876712328767
BLADEN,13,3,1,17,0.04794520547945205
IREDELL,47,18,1,66,0.21575342465753425
DAVIDSON,46,11,1,58,0.18835616438356165
MARTIN,12,0,1,13,0.03424657534246575
FRANKLIN,16,3,1,20,0.05821917808219178
BERTIE,8,2,0,10,0.023972602739726026
CARTERET,18,8,1,27,0.0821917808219178
PASQUOTANK,12,8,3,23,0.0684931506849315
LENOIR,19,9,1,29,0.08904109589041095
CALDWELL,26,2,1,29,0.08904109589041095
CAMDEN,5,0,0,5,0.00684931506849315
SAMPSON,23,8,1,32,0.09931506849315068
BUNCOMBE,53,34,5,92,0.3047945205479452
CHATHAM,19,10,0,29,0.08904109589041095
CUMBERLAND,106,38,3,147,0.4931506849315068
CURRITUCK,11,4,0,15,0.0410958904109589
DURHAM,65,45,4,114,0.3801369863013699
DARE,11,3,0,14,0.03767123287671233
PENDER,16,4,0,20,0.05821917808219178
EDGECOMBE,16,2,1,19,0.0547945205479452
ROCKINGHAM,27,13,1,41,0.13013698630136986
TRANSYLVANIA,10,4,1,15,0.0410958904109589
HENDERSON,24,18,1,43,0.136986301369863
GATES,5,0,0,5,0.00684931506849315
GASTON,58,14,2,74,0.24315068493150685
HERTFORD,7,4,2,13,0.03424657534246575
LEE,16,5,1,22,0.06506849315068493
CASWELL,6,0,0,6,0.010273972602739725
CHOWAN,4,2,0,6,0.010273972602739725
ALAMANCE,39,17,2,58,0.18835616438356165
ONSLOW,35,20,1,56,0.1815068493150685
COLUMBUS,25,2,1,28,0.08561643835616438
CLEVELAND,29,5,2,36,0.11301369863013698
JONES,6,0,0,6,0.010273972602739725
ALEXANDER,10,2,0,12,0.030821917808219176
BURKE,28,6,1,35,0.1095890410958904
ROBESON,43,11,2,56,0.1815068493150685
RICHMOND,17,6,1,24,0.07191780821917808
NORTHAMPTON,9,2,0,11,0.0273972602739726
HARNETT,27,9,2,38,0.11986301369863013
ORANGE,34,8,1,43,0.136986301369863
CRAVEN,25,12,1,38,0.11986301369863013
ANSON,11,3,1,15,0.0410958904109589
TYRRELL,3,0,0,3,0.0
YANCEY,9,3,0,12,0.030821917808219176
RANDOLPH,39,9,1,49,0.15753424657534246
WARREN,9,1,0,10,0.023972602739726026
WASHINGTON,6,0,0,6,0.010273972602739725
AVERY,12,2,2,16,0.04452054794520548
HALIFAX,19,6,1,26,0.07876712328767123
CABARRUS,47,19,2,68,0.2226027397260274
CATAWBA,44,13,2,59,0.1917808219178082
HOKE,13,9,0,22,0.06506849315068493
PERSON,12,2,1,15,0.0410958904109589
PERQUIMANS,4,0,0,4,0.003424657534246575
ALLEGHANY,4,0,0,4,0.003424657534246575
ASHE,5,0,0,5,0.00684931506849315
STOKES,20,3,0,23,0.0684931506849315
DAVIE,12,5,0,17,0.04794520547945205
STANLY,22,10,2,34,0.10616438356164383
GRANVILLE,20,2,0,22,0.06506849315068493
DUPLIN,16,8,1,25,0.07534246575342465
GREENE,6,1,0,7,0.0136986301369863
MADISON,7,4,1,12,0.030821917808219176
SCOTLAND,14,4,1,19,0.0547945205479452
LINCOLN,25,6,0,31,0.0958904109589041
MCDOWELL,12,3,1,16,0.04452054794520548
MITCHELL,7,2,0,9,0.02054794520547945
WILSON,26,15,2,43,0.136986301369863
MONTGOMERY,11,3,1,15,0.0410958904109589
WAYNE,32,12,2,46,0.14726027397260275
VANCE,18,6,1,25,0.07534246575342465
POLK,7,2,0,9,0.02054794520547945
YADKIN,14,4,0,18,0.05136986301369863
ROWAN,35,13,4,52,0.1678082191780822
RUTHERFORD,20,7,1,28,0.08561643835616438
WATAUGA,10,3,1,14,0.03767123287671233
SURRY,27,4,1,32,0.09931506849315068
PAMLICO,5,2,1,8,0.017123287671232876
WILKES,23,2,1,26,0.07876712328767123
HYDE,3,1,0,4,0.003424657534246575
WAKE,184,98,9,291,0.9863013698630136
FORSYTH,85,33,7,125,0.4178082191780822
GUILFORD,129,45,8,182,0.613013698630137
MECKLENBURG,171,112,12,295,1.0
CHEROKEE,18,2,1,21,0.06164383561643835
CLAY,3,1,0,4,0.003424657534246575
GRAHAM,3,0,0,3,0.0
MACON,11,3,0,14,0.03767123287671233
SWAIN,6,2,0,8,0.017123287671232876
JACKSON,10,3,2,15,0.0410958904109589
